,Qtr1,Qtr2,Qtr3,Qtr4
1999,30.05251,19.1485,25.31769,27.59144
2000,32.07646,23.48796,28.47594,35.12375
2001,36.83848,25.00702,30.72223,28.69376
2002,36.64099,23.82461,29.31168,31.77031
2003,35.17788,19.77524,29.60175,34.53884
2004,41.2736,26.65586,28.27986,35.19115
2005,42.20566,24.64917,32.66734,37.25735
2006,45.24246,29.35048,36.34421,41.78208
2007,49.2766,31.2754,37.85063,38.83704
2008,51.2369,31.83855,41.32342,42.799
2009,55.70836,33.40714,42.31664,45.15712
2010,59.57608,34.83733,44.84168,46.97125
2011,60.01903,38.37118,46.97586,50.7338
2012,61.64687,39.29957,52.67121,54.33232
2013,66.83436,40.87119,51.82854,57.49191
2014,65.25147,43.06121,54.76076,59.83447
2015,73.25703,47.69662,61.09777,66.05576
